mach,c_x_0,c_x_a2,c_x_p,c_x_q,c_x_r,c_y_b,c_y_p,c_y_q,c_y_r,c_z_a,c_z_p,c_z_q,c_z_r,c_ll_0,c_ll_p,c_m_a,c_m_p,c_m_q,c_m_r,c_ln_b,c_ln_p,c_ln_q,c_ln_r,x_cp
8.999999999999999667e-02,-3.085518594671315395e-01,1.357606643220169662e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,-1.886980000000000146e+01,0.000000000000000000e+00,2.000000000000000096e-04,1.215484899999999925e+03,-1.886980000000000146e+01,-0.000000000000000000e+00,-1.212531700000000001e+03,2.999999999999999737e-04,0.000000000000000000e+00,-4.241360000000000241e+01,-4.403417000000000030e+02,0.000000000000000000e+00,-2.966106049999999959e+04,8.399999999999999481e-03,4.403417999999999779e+02,1.000000000000000048e-04,-6.000000000000000125e-03,-2.973850779999999941e+04,-2.333579999999999899e+01
2.200000000000000011e-01,-2.999840128024699459e-01,1.460914162836584707e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,-1.892480000000000118e+01,0.000000000000000000e+00,2.999999999999999737e-04,1.212382200000000012e+03,-1.892480000000000118e+01,-0.000000000000000000e+00,-1.209657999999999902e+03,2.999999999999999737e-04,0.000000000000000000e+00,-4.254590000000000316e+01,-4.422212000000000103e+02,0.000000000000000000e+00,-2.963839649999999892e+04,9.400000000000000369e-03,4.422212999999999852e+02,1.000000000000000048e-04,-7.700000000000000247e-03,-2.970982619999999952e+04,-2.336730000000000018e+01
4.299999999999999933e-01,-2.939882493365439387e-01,1.839808845659012260e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,-1.902130000000000010e+01,0.000000000000000000e+00,2.000000000000000096e-04,1.201020400000000109e+03,-1.902130000000000010e+01,-0.000000000000000000e+00,-1.199128400000000056e+03,2.999999999999999737e-04,0.000000000000000000e+00,-4.278099999999999881e+01,-4.453806000000000154e+02,0.000000000000000000e+00,-2.949308399999999892e+04,7.300000000000000065e-03,4.453804999999999836e+02,1.000000000000000048e-04,-7.000000000000000146e-03,-2.954242770000000019e+04,-2.341489999999999938e+01
6.300000000000000044e-01,-2.742726362788454053e-01,2.321630668276439380e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,-1.886720000000000041e+01,0.000000000000000000e+00,2.000000000000000096e-04,1.147720499999999902e+03,-1.886720000000000041e+01,-0.000000000000000000e+00,-1.147175799999999981e+03,2.999999999999999737e-04,0.000000000000000000e+00,-4.231889999999999930e+01,-4.417533000000000243e+02,0.000000000000000000e+00,-2.829493159999999989e+04,7.000000000000000146e-03,4.417533999999999992e+02,1.000000000000000048e-04,-6.499999999999999702e-03,-2.830839649999999892e+04,-2.341379999999999839e+01
8.299999999999999600e-01,-2.311694510988773488e-01,2.455492299949607826e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,-1.886199999999999832e+01,0.000000000000000000e+00,2.000000000000000096e-04,1.049353299999999990e+03,-1.886199999999999832e+01,-0.000000000000000000e+00,-1.049036900000000060e+03,2.000000000000000096e-04,0.000000000000000000e+00,-4.213080000000000069e+01,-4.416730000000000018e+02,0.000000000000000000e+00,-2.592536720000000059e+04,6.100000000000000387e-03,4.416730000000000018e+02,1.000000000000000048e-04,-3.899999999999999821e-03,-2.593278320000000167e+04,-2.341600000000000037e+01
1.030000000000000027e+00,-5.324960872229618225e-01,2.684070157805338863e-01,-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,-2.032310000000000016e+01,0.000000000000000000e+00,2.000000000000000096e-04,1.020308800000000019e+03,-2.032310000000000016e+01,-0.000000000000000000e+00,-1.020222499999999968e+03,2.000000000000000096e-04,0.000000000000000000e+00,-4.493500000000000227e+01,-4.788045000000000186e+02,0.000000000000000000e+00,-2.539715230000000156e+04,5.899999999999999863e-03,4.788043999999999869e+02,1.000000000000000048e-04,-4.599999999999999922e-03,-2.539834769999999844e+04,-2.355959999999999965e+01
1.219999999999999973e+00,-5.044428993763179214e-01,7.729326722314574516e-01,-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,-2.232029999999999959e+01,0.000000000000000000e+00,2.000000000000000096e-04,1.005537299999999959e+03,-2.232029999999999959e+01,-0.000000000000000000e+00,-1.005708700000000022e+03,2.000000000000000096e-04,0.000000000000000000e+00,-4.750780000000000314e+01,-5.312663000000000011e+02,0.000000000000000000e+00,-2.522804880000000048e+04,5.000000000000000104e-03,5.312663999999999760e+02,1.000000000000000048e-04,-5.199999999999999761e-03,-2.522295509999999922e+04,-2.380189999999999984e+01
1.399999999999999911e+00,-4.740703426730593084e-01,7.684980721489601541e-01,-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,-2.347690000000000055e+01,0.000000000000000000e+00,1.000000000000000048e-04,9.393096000000000458e+02,-2.347690000000000055e+01,-0.000000000000000000e+00,-9.398289999999999509e+02,2.000000000000000096e-04,0.000000000000000000e+00,-4.906289999999999907e+01,-5.603459000000000287e+02,0.000000000000000000e+00,-2.336579880000000048e+04,5.499999999999999681e-03,5.603460999999999785e+02,1.000000000000000048e-04,-3.200000000000000153e-03,-2.335153519999999844e+04,-2.386799999999999855e+01
1.770000000000000018e+00,-4.402693307703098857e-01,4.085634307589470215e-01,-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,-2.326069999999999993e+01,0.000000000000000000e+00,1.000000000000000048e-04,9.479130000000000109e+02,-2.326069999999999993e+01,-0.000000000000000000e+00,-9.499946999999999662e+02,1.000000000000000048e-04,0.000000000000000000e+00,-4.787700000000000244e+01,-5.518977999999999611e+02,0.000000000000000000e+00,-2.353521089999999822e+04,1.899999999999999996e-03,5.518979000000000497e+02,1.000000000000000048e-04,-1.899999999999999996e-03,-2.347891990000000078e+04,-2.372660000000000124e+01
1.949999999999999956e+00,-4.221748899810158218e-01,3.051547296030724388e-01,-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,-2.233970000000000056e+01,0.000000000000000000e+00,1.000000000000000048e-04,9.442123000000000275e+02,-2.233970000000000056e+01,-0.000000000000000000e+00,-9.469596999999999980e+02,1.000000000000000048e-04,0.000000000000000000e+00,-4.558129999999999882e+01,-5.262981999999999516e+02,0.000000000000000000e+00,-2.342493750000000000e+04,2.000000000000000042e-03,5.262981999999999516e+02,0.000000000000000000e+00,-2.799999999999999972e-03,-2.335069340000000011e+04,-2.355890000000000128e+01
